[2025-12-10 20:25:24] Geração 229 — mean=0.9950356483459473, best=0.9952492713928223, std=0.00027039149426855147
[2025-12-10 20:25:26] Geração 230 — mean=0.9950423836708069, best=0.9952492713928223, std=0.00015513872494921088
[2025-12-10 20:25:28] Geração 231 — mean=0.9950405359268188, best=0.9952492713928223, std=0.00023861935187596828
[2025-12-10 20:25:31] Geração 232 — mean=0.9950475096702576, best=0.9952492713928223, std=0.0001622345735086128
[2025-12-10 20:25:33] Geração 233 — mean=0.9950577020645142, best=0.9952492713928223, std=0.0001364418858429417
[2025-12-10 20:25:35] Geração 234 — mean=0.9950467348098755, best=0.995250940322876, std=0.00014251626271288842
[2025-12-10 20:25:38] Geração 235 — mean=0.9950510263442993, best=0.9952573180198669, std=0.00020962770213373005
[2025-12-10 20:25:40] Geração 236 — mean=0.9950764179229736, best=0.9952608942985535, std=0.00011279984028078616
[2025-12-10 20:25:43] Geração 237 — mean=0.9950787425041199, best=0.9952776432037354, std=0.00014234281843528152
[2025-12-10 20:25:45] Geração 238 — mean=0.9950762987136841, best=0.9952776432037354, std=0.00013867439702153206
[2025-12-10 20:25:47] Geração 239 — mean=0.9950895309448242, best=0.9952825903892517, std=0.00011357148468960077
[2025-12-10 20:25:50] Geração 240 — mean=0.9950933456420898, best=0.9952958226203918, std=9.712921018945053e-05
[2025-12-10 20:25:52] Geração 241 — mean=0.9950810670852661, best=0.9952958226203918, std=0.00013769390352535993
[2025-12-10 20:25:54] Geração 242 — mean=0.9950947165489197, best=0.9952958226203918, std=0.00015073710528668016
[2025-12-10 20:25:57] Geração 243 — mean=0.9951081871986389, best=0.9952958226203918, std=0.00011129845370305702
[2025-12-10 20:25:59] Geração 244 — mean=0.9951163530349731, best=0.9952958226203918, std=0.00010756170377135277
[2025-12-10 20:26:02] Geração 245 — mean=0.9951137900352478, best=0.9953088164329529, std=0.00017820129869505763
[2025-12-10 20:26:04] Geração 246 — mean=0.9951344132423401, best=0.9953088164329529, std=9.794585639610887e-05
[2025-12-10 20:26:06] Geração 247 — mean=0.9951348900794983, best=0.9953088164329529, std=0.00010544223914621398
[2025-12-10 20:26:09] Geração 248 — mean=0.9951516389846802, best=0.9953108429908752, std=8.33356098155491e-05
[2025-12-10 20:26:11] Geração 249 — mean=0.9951504468917847, best=0.9953108429908752, std=0.00017498436500318348
[2025-12-10 20:26:14] Geração 250 — mean=0.9951622486114502, best=0.995311439037323, std=8.678149606566876e-05
[2025-12-10 20:26:16] Geração 251 — mean=0.9951766729354858, best=0.995311439037323, std=7.445002120221034e-05
[2025-12-10 20:26:18] Geração 252 — mean=0.9951804280281067, best=0.9953182339668274, std=7.746028859401122e-05
[2025-12-10 20:26:21] Geração 253 — mean=0.9951733946800232, best=0.9953182339668274, std=7.996313797775656e-05
