[2025-12-11 00:05:12] Geração 159 — mean=6.8566, best=6.8952, std=0.0154, frac_changed=1.000
[2025-12-11 00:05:19] Geração 160 — mean=6.8566, best=6.8954, std=0.0144, frac_changed=1.000
[2025-12-11 00:05:27] Geração 161 — mean=6.8581, best=6.8954, std=0.0144, frac_changed=1.000
[2025-12-11 00:05:33] Geração 162 — mean=6.8616, best=6.9050, std=0.0139, frac_changed=1.000
[2025-12-11 00:05:40] Geração 163 — mean=6.8637, best=6.9082, std=0.0149, frac_changed=1.000
[2025-12-11 00:05:47] Geração 164 — mean=6.8664, best=6.9075, std=0.0152, frac_changed=1.000
[2025-12-11 00:05:54] Geração 165 — mean=6.8716, best=6.9078, std=0.0152, frac_changed=1.000
[2025-12-11 00:06:01] Geração 166 — mean=6.8739, best=6.9090, std=0.0163, frac_changed=1.000
[2025-12-11 00:06:07] Geração 167 — mean=6.8773, best=6.9243, std=0.0152, frac_changed=1.000
[2025-12-11 00:06:14] Geração 168 — mean=6.8808, best=6.9243, std=0.0142, frac_changed=1.000
[2025-12-11 00:06:21] Geração 169 — mean=6.8832, best=6.9246, std=0.0143, frac_changed=1.000
[2025-12-11 00:06:28] Geração 170 — mean=6.8846, best=6.9257, std=0.0149, frac_changed=1.000
[2025-12-11 00:06:35] Geração 171 — mean=6.8873, best=6.9298, std=0.0160, frac_changed=1.000
[2025-12-11 00:06:42] Geração 172 — mean=6.8903, best=6.9325, std=0.0169, frac_changed=1.000
[2025-12-11 00:06:48] Geração 173 — mean=6.8936, best=6.9326, std=0.0165, frac_changed=1.000
[2025-12-11 00:06:55] Geração 174 — mean=6.8974, best=6.9360, std=0.0172, frac_changed=1.000
[2025-12-11 00:07:02] Geração 175 — mean=6.9019, best=6.9467, std=0.0180, frac_changed=1.000
[2025-12-11 00:07:09] Geração 176 — mean=6.9089, best=6.9489, std=0.0167, frac_changed=1.000
[2025-12-11 00:07:16] Geração 177 — mean=6.9114, best=6.9489, std=0.0155, frac_changed=1.000
[2025-12-11 00:07:23] Geração 178 — mean=6.9161, best=6.9513, std=0.0152, frac_changed=1.000
[2025-12-11 00:07:30] Geração 179 — mean=6.9199, best=6.9510, std=0.0148, frac_changed=1.000
