[2025-12-10 21:18:45] Geração 123 — mean=-47.30221176147461, best=-23.329435348510742, std=6.912297248840332
[2025-12-10 21:18:52] Geração 124 — mean=-47.3120231628418, best=-23.329435348510742, std=6.804485321044922
[2025-12-10 21:18:59] Geração 125 — mean=-46.72055435180664, best=-23.329435348510742, std=6.7820329666137695
[2025-12-10 21:19:06] Geração 126 — mean=-46.79153823852539, best=-23.329435348510742, std=6.896575450897217
[2025-12-10 21:19:12] Geração 127 — mean=-47.0340576171875, best=-23.329435348510742, std=6.512447357177734
[2025-12-10 21:19:19] Geração 128 — mean=-46.51015853881836, best=-23.329435348510742, std=6.635066509246826
[2025-12-10 21:19:26] Geração 129 — mean=-46.11034393310547, best=-23.329435348510742, std=7.205431938171387
[2025-12-10 21:19:33] Geração 130 — mean=-45.193695068359375, best=-23.329435348510742, std=7.510399341583252
[2025-12-10 21:19:40] Geração 131 — mean=-45.16971206665039, best=-23.329435348510742, std=7.364506721496582
[2025-12-10 21:19:47] Geração 132 — mean=-44.75385665893555, best=-23.329435348510742, std=7.486067771911621
[2025-12-10 21:19:54] Geração 133 — mean=-44.27243423461914, best=-23.329435348510742, std=7.357669830322266
[2025-12-10 21:20:01] Geração 134 — mean=-43.47904968261719, best=-23.329435348510742, std=6.780489921569824
[2025-12-10 21:20:08] Geração 135 — mean=-43.59868240356445, best=-23.329435348510742, std=6.791486740112305
[2025-12-10 21:20:14] Geração 136 — mean=-43.524837493896484, best=-23.329435348510742, std=6.705827713012695
[2025-12-10 21:20:21] Geração 137 — mean=-43.388736724853516, best=-23.329435348510742, std=6.514575004577637
[2025-12-10 21:20:28] Geração 138 — mean=-43.1426887512207, best=-23.329435348510742, std=6.377000331878662
[2025-12-10 21:20:35] Geração 139 — mean=-42.65623474121094, best=-23.329435348510742, std=6.22179651260376
[2025-12-10 21:20:42] Geração 140 — mean=-42.04343795776367, best=-23.329435348510742, std=5.896059036254883
[2025-12-10 21:20:48] Geração 141 — mean=-41.93283462524414, best=-23.329435348510742, std=6.560917377471924
[2025-12-10 21:20:55] Geração 142 — mean=-41.827789306640625, best=-23.329435348510742, std=6.781370162963867
[2025-12-10 21:21:02] Geração 143 — mean=-40.96755599975586, best=-23.329435348510742, std=6.849820613861084
[2025-12-10 21:21:09] Geração 144 — mean=-40.82599639892578, best=-23.329435348510742, std=6.246589183807373
[2025-12-10 21:21:16] Geração 145 — mean=-41.40618133544922, best=-23.329435348510742, std=6.283624649047852
[2025-12-10 21:21:23] Geração 146 — mean=-40.30385971069336, best=-23.329435348510742, std=6.28226375579834
[2025-12-10 21:21:30] Geração 147 — mean=-40.87592315673828, best=-23.329435348510742, std=6.065062522888184
[2025-12-10 21:21:37] Geração 148 — mean=-40.89979934692383, best=-23.329435348510742, std=6.195544719696045
[2025-12-10 21:21:44] Geração 149 — mean=-40.24821472167969, best=-23.329435348510742, std=5.83053731918335
[2025-12-10 21:21:50] Geração 150 — mean=-40.527748107910156, best=-23.329435348510742, std=5.712003707885742
[2025-12-10 21:21:57] Geração 151 — mean=-40.874881744384766, best=-23.329435348510742, std=5.944277286529541
[2025-12-10 21:22:04] Geração 152 — mean=-41.29174041748047, best=-23.329435348510742, std=5.945630073547363
[2025-12-10 21:22:11] Geração 153 — mean=-41.06517028808594, best=-23.329435348510742, std=5.853959560394287
[2025-12-10 21:22:18] Geração 154 — mean=-41.3315315246582, best=-23.329435348510742, std=5.4653849601745605
[2025-12-10 21:22:24] Geração 155 — mean=-41.20836639404297, best=-23.329435348510742, std=5.454489707946777
[2025-12-10 21:22:31] Geração 156 — mean=-41.15592575073242, best=-23.329435348510742, std=5.435479640960693
[2025-12-10 21:22:38] Geração 157 — mean=-40.93158721923828, best=-23.329435348510742, std=5.789483070373535
[2025-12-10 21:22:45] Geração 158 — mean=-40.55746841430664, best=-23.329435348510742, std=6.004368305206299
[2025-12-10 21:22:52] Geração 159 — mean=-40.80564880371094, best=-23.329435348510742, std=5.7626471519470215
[2025-12-10 21:22:59] Geração 160 — mean=-41.12217330932617, best=-23.329435348510742, std=5.009249687194824
[2025-12-10 21:23:06] Geração 161 — mean=-40.78983688354492, best=-23.329435348510742, std=5.1469879150390625
[2025-12-10 21:23:13] Geração 162 — mean=-40.46408462524414, best=-23.329435348510742, std=5.1173882484436035
[2025-12-10 21:23:20] Geração 163 — mean=-40.88093566894531, best=-23.329435348510742, std=4.832220554351807
[2025-12-10 21:23:26] Geração 164 — mean=-40.61642837524414, best=-23.329435348510742, std=5.058379173278809
[2025-12-10 21:23:33] Geração 165 — mean=-40.25246047973633, best=-23.329435348510742, std=4.5873308181762695
[2025-12-10 21:23:40] Geração 166 — mean=-40.50389862060547, best=-23.329435348510742, std=4.75665283203125
[2025-12-10 21:23:47] Geração 167 — mean=-40.394859313964844, best=-23.329435348510742, std=5.1377058029174805
[2025-12-10 21:23:54] Geração 168 — mean=-40.28464126586914, best=-23.329435348510742, std=4.989374160766602
[2025-12-10 21:24:00] Geração 169 — mean=-39.9079704284668, best=-23.329435348510742, std=4.7249650955200195
[2025-12-10 21:24:07] Geração 170 — mean=-40.08296585083008, best=-23.329435348510742, std=4.648836612701416
[2025-12-10 21:24:14] Geração 171 — mean=-40.23715591430664, best=-23.329435348510742, std=4.998995780944824
[2025-12-10 21:24:21] Geração 172 — mean=-40.006492614746094, best=-23.329435348510742, std=4.969144821166992
[2025-12-10 21:24:28] Geração 173 — mean=-39.9842414855957, best=-23.329435348510742, std=4.831088542938232
[2025-12-10 21:24:34] Geração 174 — mean=-40.013553619384766, best=-23.329435348510742, std=5.17930269241333
[2025-12-10 21:24:41] Geração 175 — mean=-40.18869400024414, best=-23.329435348510742, std=5.21224308013916
[2025-12-10 21:24:49] Geração 176 — mean=-39.719642639160156, best=-23.329435348510742, std=5.329503536224365
[2025-12-10 21:24:56] Geração 177 — mean=-40.23722839355469, best=-23.329435348510742, std=5.080693244934082
[2025-12-10 21:25:02] Geração 178 — mean=-40.08219909667969, best=-23.329435348510742, std=5.093961715698242
[2025-12-10 21:25:09] Geração 179 — mean=-39.520660400390625, best=-23.329435348510742, std=5.042534351348877
[2025-12-10 21:25:16] Geração 180 — mean=-39.23160934448242, best=-23.329435348510742, std=5.424781799316406
[2025-12-10 21:25:23] Geração 181 — mean=-38.52599334716797, best=-23.329435348510742, std=4.922210693359375
[2025-12-10 21:25:30] Geração 182 — mean=-38.49353790283203, best=-23.329435348510742, std=4.668186187744141
[2025-12-10 21:25:36] Geração 183 — mean=-38.44672775268555, best=-23.329435348510742, std=4.984913349151611
[2025-12-10 21:25:43] Geração 184 — mean=-38.42027282714844, best=-23.329387664794922, std=4.910895347595215
[2025-12-10 21:25:50] Geração 185 — mean=-38.3275146484375, best=-23.329387664794922, std=4.9994001388549805
[2025-12-10 21:25:57] Geração 186 — mean=-37.48957824707031, best=-23.329387664794922, std=4.765040397644043
[2025-12-10 21:26:04] Geração 187 — mean=-37.303768157958984, best=-23.329387664794922, std=4.723533630371094
[2025-12-10 21:26:10] Geração 188 — mean=-36.90379333496094, best=-23.329387664794922, std=4.427521228790283
[2025-12-10 21:26:17] Geração 189 — mean=-36.770111083984375, best=-23.329387664794922, std=4.3226237297058105
[2025-12-10 21:26:24] Geração 190 — mean=-37.202117919921875, best=-23.329387664794922, std=4.502061367034912
[2025-12-10 21:26:32] Geração 191 — mean=-37.20010757446289, best=-23.329151153564453, std=4.825531482696533
[2025-12-10 21:26:38] Geração 192 — mean=-36.77964782714844, best=-23.329151153564453, std=4.830602169036865
